loop20,2022-04-30 19:11:17.450000,sleeping,0,0,0,0
loop21,2022-04-30 19:11:17.520000,sleeping,0,0,0,0
loop22,2022-04-30 19:11:17.590000,sleeping,0,0,0,0
systemd-resolved,2022-04-30 19:11:17.680000,sleeping,0,0,0,0
accounts-daemon,2022-04-30 19:11:18.200000,sleeping,0,0,0,0
acpid,2022-04-30 19:11:18.210000,sleeping,0,0,0,0
avahi-daemon,2022-04-30 19:11:18.210000,sleeping,0,0,0,0
bluetoothd,2022-04-30 19:11:18.220000,sleeping,0,0,0,0
cron,2022-04-30 19:11:18.220000,sleeping,0,0,0,0
dbus-daemon,2022-04-30 19:11:18.230000,sleeping,0,0,0,0
NetworkManager,2022-04-30 19:11:18.230000,sleeping,0,0,0,0
irqbalance,2022-04-30 19:11:18.240000,sleeping,0,0,0,0
polkitd,2022-04-30 19:11:18.250000,sleeping,0,0,0,0
snapd,2022-04-30 19:11:18.250000,sleeping,0,0,0,0
switcheroo-control,2022-04-30 19:11:18.250000,sleeping,0,0,0,0
systemd-logind,2022-04-30 19:11:18.250000,sleeping,0,0,0,0
thermald,2022-04-30 19:11:18.260000,sleeping,0,0,0,0
udisksd,2022-04-30 19:11:18.260000,sleeping,0,0,0,0
wpa_supplicant,2022-04-30 19:11:18.260000,sleeping,0,0,0,0
avahi-daemon,2022-04-30 19:11:18.260000,sleeping,0,0,0,0
ModemManager,2022-04-30 19:11:18.350000,sleeping,0,0,0,0
gdm3,2022-04-30 19:11:18.390000,sleeping,0,0,0,0
unattended-upgr,2022-04-30 19:11:18.660000,sleeping,0,0,0,0
rtkit-daemon,2022-04-30 19:11:18.840000,sleeping,0,0,0,0
upowerd,2022-04-30 19:11:19.010000,sleeping,0,0,0,0
colord,2022-04-30 19:11:20.710000,sleeping,0,0,0,0
nmbd,2022-04-30 19:11:24.360000,sleeping,0,0,0,0
whoopsie,2022-04-30 19:11:24.360000,sleeping,0,0,0,0
kerneloops,2022-04-30 19:11:24.370000,sleeping,0,0,0,0
kerneloops,2022-04-30 19:11:24.370000,sleeping,0,0,0,0
smbd,2022-04-30 19:11:24.430000,sleeping,0,0,0,0
smbd-notifyd,2022-04-30 19:11:24.470000,sleeping,0,0,0,0
cleanupd,2022-04-30 19:11:24.470000,sleeping,0,0,0,0
bpfilter_umh,2022-04-30 19:11:24.600000,sleeping,0,0,0,0
gdm-session-worker,2022-04-30 19:11:25.680000,sleeping,0,0,0,0
systemd,2022-04-30 19:11:29.020000,sleeping,12484608,24723456,5836800,7114752
